wavelet_mean,sample_entropy,shannon_entropy,rms,Label
4.778588665556045e-06,1.009996088610599,0.4593614708596652,6.513345387581699e-06,1
4.623102720360576e-06,1.445167126910344,0.8188472204023621,4.774665345396274e-06,0
4.951429226884362e-06,1.795564931745127,0.7742362960798232,5.861108108102178e-06,1
3.891446740850134e-06,1.68682425927188,0.8971585684095846,5.213688999748555e-06,1
9.172242118084948e-06,0.6843387152192012,0.522834265618084,1.661162330889682e-05,0
1.183297347116099e-05,0.7233756066441962,0.6278538987320287,1.692092619271061e-05,1
4.029761894783256e-06,1.526053196967778,0.7787047911428433,5.380524918771065e-06,1
8.039505306283365e-06,1.551937502247799,0.8850766869406823,8.553011730662947e-06,1
1.331271759928132e-05,0.294408354554799,0.3925730373753858,2.753130429681992e-05,1
4.233541429266491e-06,1.309750780709136,0.8387583064890018,4.452078909969275e-06,1
4.696176900039371e-06,1.581592322466467,0.9172731449391583,4.548900371030212e-06,0
2.504137599175158e-06,1.716188417668769,0.9187456399059972,2.335610925863846e-06,0
2.912856168954818e-06,1.463425990353767,0.8482764508087066,2.648642688258687e-06,0
3.566579156511714e-05,0.2716333343686172,0.4824316715272577,4.219566859714514e-05,0
4.866751090812158e-06,0.84587546522701,0.699541963142745,5.482887223733971e-06,0
9.15571019028672e-06,0.3952603630155961,0.3752186434813624,1.470738931722908e-05,0
6.892680990711695e-06,0.8250283266570927,0.728853564839391,1.040806412148239e-05,0
3.030714947541635e-05,0.2554180805779231,0.3785092432339832,3.404761904677903e-05,1
6.559461454850248e-06,1.461109297492839,0.8759690738632939,6.84534768440784e-06,1
1.140441499392088e-05,1.316132145868111,0.7604258117219351,1.13996671276619e-05,0
8.976179965273327e-06,0.8974127323053733,0.5040740237300574,9.610094676553137e-06,0
1.476337188914383e-05,0.5667335308775817,0.6149782969773955,2.117654741435687e-05,0
1.975394269860498e-06,1.476976374327105,0.8409721541821833,1.825500095456859e-06,0
6.484214786692756e-06,1.268151323539399,0.8229266146645738,6.581861545399718e-06,0
7.858679125722086e-06,1.59391199699027,0.8486024045754873,7.510633210122448e-06,1
3.52492801932061e-06,1.573169383057428,0.8770980958671487,3.298584575802929e-06,0
4.391251261509362e-06,1.544570117721043,0.8207931235051346,4.571691336309209e-06,1
1.850982042585133e-05,0.2377670051312449,0.4710002655412495,3.750534604684201e-05,1
3.155266070900588e-06,1.405750688872382,0.83369302367415,2.828259327663366e-06,0
4.935792497719519e-06,1.15602871937422,0.8314132932459749,5.853256255214945e-06,0
9.34277773570566e-06,1.120762248347461,0.7171440490749469,9.059873004619066e-06,1
8.023284336498203e-06,0.3696519773345641,0.5749098570087219,1.305022682714477e-05,0
1.444495114764752e-05,0.9306758696557824,0.6500163676474862,1.335438335730955e-05,0
5.83079545929026e-06,1.483368681039551,0.7911509550181185,5.162670470350321e-06,0
4.224707172432585e-06,1.240096988655145,0.8038636865730802,5.061689175933973e-06,1
5.722306012011425e-06,1.375489150721328,0.8120029359563644,5.465312114551e-06,0
1.209944636374483e-05,0.926869036916302,0.7189445700936282,1.520508728592856e-05,1
9.880361139506566e-06,0.7472253932339651,0.7510732619349479,1.06942654563241e-05,1
1.234369787001387e-05,0.613789860484291,0.765057215438646,1.536958370047269e-05,1
5.291045430277965e-06,1.472306291716296,0.8239290599026987,4.836223749411091e-06,0
2.223660454237822e-06,1.648072328845783,0.9099868328924152,2.057748185277787e-06,0
1.427451578544276e-05,0.951951109950388,0.6559749010911637,1.765669232571207e-05,1
3.670941585473904e-06,1.579601708172483,0.8041120638862561,4.28662841595786e-06,0
6.111159466382264e-06,1.432769850841729,0.8318354707090655,6.324636952611441e-06,1
4.197336878098401e-06,1.69302556885347,0.8965293438282144,5.173722608671027e-06,1
4.968277716786604e-06,1.597182461074446,0.8901147250270767,5.300929917064006e-06,0
9.006505121156809e-06,1.163094737389045,0.7359008306932036,8.36171106875878e-06,0
1.746053924278156e-05,0.4500972576757087,0.7105074006713921,2.308374060054228e-05,0
3.9250937137499e-06,1.572590628920489,0.8881945283908768,3.933772983955614e-06,1
4.219889709067309e-06,1.474375676621127,0.7611281458907679,4.23572449435379e-06,1
1.016725020686011e-05,1.274328254770165,0.7698508775103468,1.029046613558113e-05,0
5.586551362264503e-06,1.217662838288447,0.642780469526143,5.922631620329823e-06,0
2.26442507518825e-05,0.1894979059137692,0.3929624385188502,3.363001383256033e-05,1
8.35960872099613e-06,0.6864827005450752,0.4686479767872592,9.66215822238023e-06,0
2.537518367452385e-05,0.2806826112177505,0.36133607666343,3.105009880468258e-05,0
1.232906590717279e-05,0.5642158191990752,0.4323538548320101,1.407170859085602e-05,0
5.584802201737403e-06,1.350331930761635,0.7290472940452415,5.693754002498676e-06,1
2.415131044404927e-05,0.050049864275473,0.4646718970887602,4.260644669500765e-05,0
2.921798752542001e-06,1.613676455482669,0.8760854134016037,2.780459685998967e-06,1
5.017768144067969e-06,1.243710934581747,0.7198425571810431,4.572306297178948e-06,0
6.275760587543979e-06,1.183460725884168,0.7222780484755416,6.343833453129865e-06,1
3.835837976453452e-06,1.206477196304884,0.8503748550802829,4.717799942916063e-06,1
7.393551303208757e-06,0.8453622386875596,0.7950196928605182,8.869960114239104e-06,1
4.794814669975444e-06,1.782017730177023,0.8859967165097778,4.970944742393077e-06,1
5.209729312952363e-06,1.541720173603937,0.8600741647424481,5.558889313296514e-06,1
5.355280796974168e-06,0.6797567571548935,0.5951716560510341,8.143122771456296e-06,0
4.298453728470142e-06,1.456617707756466,0.7616990831238705,6.527726741812122e-06,1
2.303052587895904e-05,0.3727327475818333,0.8213261229533771,3.456659462788288e-05,1
1.742655131407413e-05,0.4598553272831133,0.76103132011484,2.883365494273805e-05,1
7.888289241571154e-06,0.9612236434759198,0.5178021834520644,8.38420265350698e-06,0
1.113701360142217e-05,1.258059647163163,0.7226003105924005,1.125414082139296e-05,0
6.152118467137879e-06,1.133900938681711,0.715746830573925,6.126709036558222e-06,1
3.921962913341108e-06,1.125529358307044,0.6904125920706722,3.642947076534906e-06,0
3.548890668190306e-06,1.370731566705971,0.8467475749820308,3.90319265553859e-06,1
9.16502596279397e-06,1.110249858804694,0.7277812840991185,9.360821786244318e-06,1
4.685257751424966e-06,1.609565553655668,0.8773873659310102,5.396333253184809e-06,1
5.712582856683909e-06,1.231091693103674,0.8095031572472626,5.897896934042608e-06,0
5.027395562117719e-06,1.205613447980037,0.780423002659365,5.039040788372542e-06,0
1.114348398602649e-05,1.143643347476918,0.7341457078727762,1.04650012972408e-05,1
3.845129241148063e-06,1.640336114434737,0.9131143342560432,4.514036211198111e-06,0
6.742292787149801e-06,0.7335186728227864,0.6708913877743948,7.995245578465192e-06,0
9.567607947130438e-06,1.120203607018982,0.7306459264692756,8.719493235442389e-06,1
4.423738897492993e-06,1.375579334097824,0.8747891850863195,4.569170973495933e-06,0
3.748164950107073e-06,1.566496437090884,0.7613516548997624,5.08026223610436e-06,0
2.712433128843239e-06,0.935251980137501,0.5240629759120282,2.960267654875118e-06,0
4.011554095588555e-06,1.804735915757839,0.7289588911066207,5.464904944095504e-06,1
6.34601455687094e-06,1.563445078877962,0.8740797300777902,6.313552717061525e-06,1
8.334642143976043e-06,0.3776805488802488,0.5247247432571167,1.373556688405842e-05,0
5.326422338585262e-06,0.7706953659499477,0.5423664209106935,7.627033731988959e-06,0
4.36700089844228e-06,1.636844915039221,0.871448963536443,5.225095533351793e-06,1
5.404446334932909e-06,1.514951924033477,0.7539951775250564,5.744380014529773e-06,0
1.109604247624906e-05,0.7640827641455314,0.4621511330554995,1.930226594985197e-05,1
2.934294491471391e-06,1.307705949669482,0.837510449796922,3.164748869313515e-06,0
8.824315153046865e-06,0.5398502517648835,0.6362720023907804,9.810346561440304e-06,1
3.760149329754716e-06,1.378248608413069,0.7293015916011337,3.566135919556437e-06,0
3.190498532842838e-06,1.358797908158829,0.841220523905778,3.326633619930836e-06,0
4.909742631391964e-06,1.615240239983386,0.8270666529011329,5.185669318930568e-06,1
1.615722561775829e-05,0.4278673818100582,0.4965629690678685,2.115114401405173e-05,0
1.38975073790699e-05,0.989911416236043,0.6949139090830089,1.304109604117766e-05,1
1.131903764744398e-05,1.091121865344329,0.6988788120210129,1.005026871314971e-05,0
4.505497630943931e-06,1.317322605627157,0.8236834656320517,4.577621653278684e-06,0
7.53662812881642e-06,1.267586361861951,0.7729139185738124,7.059522970546278e-06,0
4.291877927247346e-06,1.44017583544625,0.7252827795662656,4.397566173071047e-06,1
2.61070929368122e-06,1.579219154472542,0.8791558450658395,3.368229681147226e-06,1
7.491509199050505e-06,0.8891166146847496,0.665764924021728,1.162766719348889e-05,0
3.863960667147764e-06,1.470333392114167,0.7837449512107187,3.55390130734761e-06,0
